Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_2,11,Backhand,237,239,0.07,790.61,375.04,163.27,165.34,129.48,133.56,169.86,3.55,19.48
Player_2,12,Backhand,240,241,0.03,218.69,109.35,166.82,167.53,133.3,137.27,170.94,1.72,9.88
Player_2,13,Forehand,469,472,0.1,880.64,519.19,161.61,166.12,97.46,103.77,169.48,3.67,5.11
Player_2,14,Backhand,552,564,0.4,1282.79,695.19,127.8,149.62,101.39,116.67,130.75,122.47,24.61
Player_2,15,Forehand,633,637,0.13,644.11,398.85,141.52,144.2,109.67,115.92,107.0,11.12,10.8
Player_2,16,Forehand,645,650,0.17,1777.71,892.52,118.91,129.15,72.08,91.57,118.14,2.94,9.82
Player_2,17,Forehand,655,670,0.5,3675.21,1168.99,114.53,138.82,81.99,103.01,113.25,97.25,35.32
Player_2,18,Forehand,678,682,0.13,1438.52,785.92,144.64,149.25,80.78,96.48,151.95,14.27,11.49
Player_2,19,Forehand,684,689,0.17,1317.35,701.29,158.39,165.07,123.99,133.79,163.56,31.78,9.58
Player_2,20,Forehand,699,701,0.07,529.46,332.21,171.89,172.98,129.41,131.65,178.67,1.59,1.72
Player_2,21,Backhand,703,710,0.23,2170.46,954.37,169.67,170.91,57.28,79.69,175.14,17.55,10.2
Player_2,22,Backhand,712,724,0.4,4721.32,2125.03,171.74,176.98,78.7,102.23,172.51,17.25,24.12
Player_2,23,Forehand,725,728,0.1,1717.55,820.2,166.74,168.77,87.62,97.35,174.61,1.6,3.84
Player_2,24,Forehand,729,731,0.07,536.06,290.27,176.6,177.99,112.06,114.93,168.92,3.36,2.42
Player_2,25,Forehand,818,822,0.13,801.63,473.08,168.88,171.62,110.52,115.9,178.06,4.0,6.96
Player_2,26,Forehand,903,905,0.07,633.0,293.55,167.24,168.07,116.99,118.54,174.57,5.04,4.71
Player_2,27,Forehand,1086,1087,0.03,123.24,61.62,172.9,173.84,114.81,115.38,172.78,0.11,0.62
Player_2,28,Forehand,1098,1102,0.13,684.5,418.8,170.11,172.18,160.68,169.18,173.07,2.43,12.39
Player_2,29,Forehand,1167,1170,0.1,880.91,413.61,173.12,173.74,131.85,136.85,177.03,3.09,5.33
Player_2,30,Forehand,1172,1174,0.07,1126.27,456.02,171.23,171.98,129.19,134.66,178.64,1.24,4.72
Player_2,31,Forehand,1188,1190,0.07,2470.86,967.22,170.12,171.84,133.38,135.99,176.88,3.15,6.49
Player_2,32,Forehand,1204,1208,0.13,9028.67,2235.22,174.3,176.85,66.24,83.27,176.66,14.72,17.35
Player_2,33,Forehand,1211,1214,0.1,655.75,427.99,173.86,176.92,65.06,73.96,171.53,10.19,2.39
Player_2,34,Forehand,1218,1220,0.07,2230.18,819.22,171.63,173.63,144.74,151.26,168.95,2.55,4.12
Player_2,35,Forehand,1221,1224,0.1,1814.8,724.03,172.76,174.66,142.79,144.24,172.22,3.84,6.97
Player_2,36,Forehand,1304,1309,0.17,1022.3,589.69,159.58,166.23,36.87,69.66,178.01,13.73,7.9
Player_2,37,Forehand,1315,1316,0.03,458.67,229.33,167.87,168.01,111.31,112.68,171.4,8.81,1.92
Player_2,38,Forehand,1317,1321,0.13,2801.18,833.7,158.34,165.36,43.32,99.39,177.37,14.34,10.58
Player_2,39,Forehand,1323,1325,0.07,2286.13,831.26,157.77,163.14,33.26,57.46,174.04,8.94,1.88
Player_2,40,Forehand,1328,1330,0.07,1090.57,423.42,175.59,176.87,48.93,59.24,177.71,7.49,10.29
Player_2,41,Forehand,1333,1340,0.23,2307.17,1251.45,167.39,169.97,40.35,83.8,167.94,6.75,19.94
Player_2,42,Forehand,1342,1345,0.1,1448.31,656.41,172.93,174.79,110.75,113.43,171.62,6.62,6.58
Player_2,43,Forehand,1346,1366,0.67,2827.03,1399.82,167.99,174.47,52.52,95.87,160.81,50.43,18.82
Player_2,44,Forehand,1367,1368,0.03,419.25,209.63,173.23,175.44,45.17,45.56,141.2,3.33,5.15
Player_2,45,Forehand,1415,1423,0.27,13278.58,3781.83,151.9,160.07,19.23,69.53,137.06,20.28,17.49
Player_2,46,Forehand,1425,1426,0.03,240.94,120.47,159.31,159.83,47.08,47.98,136.98,4.2,8.48
Player_2,47,Forehand,1438,1442,0.13,1636.76,629.11,142.54,145.58,32.78,56.55,132.39,8.19,7.97
Player_2,48,Forehand,1448,1449,0.03,212.82,106.41,168.25,170.33,55.81,60.24,146.12,2.01,2.68
Player_2,49,Forehand,1452,1454,0.07,4879.6,1725.85,156.31,161.01,83.16,88.15,132.17,1.77,2.36
Player_2,50,Forehand,1471,1474,0.1,1878.44,795.44,147.95,152.71,55.38,65.03,119.1,11.23,2.93
Player_2,51,Forehand,1477,1482,0.17,1576.26,988.26,146.49,147.93,93.58,121.52,119.46,3.15,11.51
Player_2,52,Forehand,1483,1487,0.13,3291.11,1579.66,146.68,150.95,123.82,132.17,127.75,14.46,18.27
Player_2,53,Forehand,1488,1504,0.53,6309.4,1428.12,145.34,155.63,59.56,92.83,137.34,52.95,30.78
Player_2,54,Forehand,1505,1511,0.2,1277.63,678.44,160.56,163.28,68.77,78.8,148.11,29.49,12.46
Player_2,55,Forehand,1512,1516,0.13,1060.88,626.95,164.72,170.14,93.22,104.65,158.02,27.97,11.43
Player_2,56,Forehand,1519,1524,0.17,1458.61,619.98,171.98,177.2,112.9,120.62,170.07,25.91,6.31
Player_2,57,Backhand,1527,1530,0.1,733.56,366.05,172.04,175.68,131.76,137.95,177.9,10.61,4.97
Player_2,58,Backhand,1535,1536,0.03,401.77,200.88,178.14,178.72,122.0,123.33,177.13,1.36,5.35
Player_2,59,Forehand,1553,1560,0.23,2279.4,1055.24,173.48,176.89,83.91,90.27,168.84,9.1,5.37
Player_2,60,Forehand,1561,1570,0.3,4330.57,1286.58,165.56,174.25,63.0,79.27,176.31,10.34,23.97
Player_2,61,Forehand,1571,1573,0.07,1843.85,750.76,170.67,175.12,84.82,93.91,175.1,4.51,12.14
Player_2,62,Forehand,1575,1578,0.1,685.72,390.71,167.8,173.45,99.91,101.35,167.6,8.37,8.68
Player_2,63,Backhand,1586,1588,0.07,923.76,424.28,171.11,172.4,100.35,101.34,173.11,16.02,7.68
Player_2,64,Forehand,1624,1626,0.07,742.61,317.58,153.92,156.61,93.49,100.47,171.55,4.96,2.0
Player_2,65,Forehand,1627,1630,0.1,4010.12,1827.65,162.33,167.17,58.77,80.51,177.34,12.79,17.45
Player_2,66,Forehand,1685,1690,0.17,404.59,202.29,138.87,153.27,19.37,28.77,153.24,5.2,84.13
Player_2,67,Forehand,1766,1767,0.03,359.24,179.62,178.53,178.97,61.35,68.72,171.41,7.52,1.58
Player_2,68,Forehand,1768,1769,0.03,142.75,71.38,176.6,177.87,67.99,68.04,162.14,0.3,4.0
Player_2,69,Forehand,1792,1794,0.07,727.29,305.18,162.94,165.44,64.36,67.64,157.03,5.25,1.51
Player_2,70,Backhand,1887,1889,0.07,798.29,422.33,175.45,176.09,85.22,91.26,168.12,1.47,1.31
Player_2,71,Forehand,1890,1891,0.03,312.49,156.25,177.98,178.4,85.17,86.18,169.43,2.32,0.28
Player_2,72,Forehand,1999,2003,0.13,947.43,520.63,168.33,171.04,37.87,70.93,175.11,10.13,8.91
Player_2,73,Forehand,2006,2007,0.03,460.42,230.21,175.48,177.74,42.27,43.15,177.3,4.0,4.96
Player_2,74,Backhand,2040,2046,0.2,1964.37,831.23,163.12,169.63,83.32,100.88,177.98,6.54,6.75
Player_2,75,Backhand,2127,2129,0.07,937.14,416.39,140.61,143.96,116.54,120.61,168.59,2.11,14.69
Player_2,76,Backhand,2135,2136,0.03,407.01,203.5,173.61,175.39,95.89,107.58,166.48,0.47,3.46
Player_2,77,Backhand,2145,2150,0.17,1657.92,849.53,160.93,169.3,33.85,79.73,169.06,6.96,21.14
Player_2,78,Backhand,2154,2155,0.03,345.03,172.51,167.98,168.92,86.89,87.23,177.77,0.21,1.0
Player_2,79,Backhand,2157,2158,0.03,352.97,176.49,170.42,171.33,86.78,87.62,174.01,1.53,1.96
Player_2,80,Backhand,2159,2162,0.1,3238.33,1143.09,167.95,169.93,94.17,97.43,170.17,12.21,6.96
Player_2,81,Backhand,2163,2175,0.4,1710.41,957.31,164.82,168.99,82.44,115.25,172.98,35.54,19.8
Player_2,82,Forehand,2179,2185,0.2,3258.95,1140.59,150.77,154.15,90.44,119.84,174.91,17.96,9.16
Player_2,83,Forehand,2342,2351,0.3,1644.49,969.55,169.73,175.42,82.12,88.77,173.02,6.51,5.76
Player_2,84,Forehand,2352,2354,0.07,1114.78,383.94,177.28,177.47,85.93,89.75,173.7,0.81,2.6
Player_2,85,Forehand,2359,2360,0.03,440.44,220.22,177.79,177.83,86.59,87.58,173.52,0.3,0.03
Player_2,86,Forehand,2361,2362,0.03,301.64,150.82,176.2,176.41,98.4,99.16,173.14,1.69,1.1
Player_2,87,Forehand,2364,2368,0.13,1143.89,550.82,173.11,175.05,75.44,78.33,171.43,3.52,2.63
Player_2,88,Forehand,2372,2373,0.03,365.81,182.91,173.1,174.18,78.72,80.25,173.13,2.52,4.89
Player_2,89,Forehand,2387,2391,0.13,809.2,518.66,174.25,175.24,100.33,103.85,168.85,5.45,10.86
Player_2,90,Forehand,2663,2665,0.07,618.32,303.96,157.11,158.53,89.9,98.91,177.54,4.03,2.21
Player_2,91,Forehand,2672,2673,0.03,142.79,71.39,161.28,164.47,169.09,173.0,173.96,1.77,7.4
Player_2,92,Forehand,2674,2678,0.13,4999.98,1392.86,166.93,171.4,37.23,124.55,173.45,9.34,15.19
Player_2,93,Backhand,2690,2693,0.1,1804.45,882.02,173.24,173.79,23.93,36.35,178.29,4.09,17.16
Player_2,94,Backhand,2697,2698,0.03,405.28,202.64,177.58,178.52,10.41,12.39,177.14,2.96,0.71
Player_2,95,Backhand,2759,2760,0.03,186.97,93.48,174.29,175.13,82.33,85.3,159.98,2.27,0.64
Player_2,96,Forehand,2762,2766,0.13,1723.68,790.76,166.61,168.73,12.09,60.18,158.07,3.55,39.84
Player_2,97,Forehand,2898,2899,0.03,98.57,49.28,179.09,179.09,72.86,75.53,169.37,1.13,5.89
Player_2,98,Forehand,2925,2927,0.07,982.06,382.56,165.57,167.03,119.58,122.7,168.13,3.81,5.55
Player_2,99,Forehand,2963,2965,0.07,507.66,266.23,170.72,175.95,93.97,96.41,173.98,5.67,1.89
Player_2,100,Forehand,2991,2992,0.03,326.65,163.33,175.91,177.37,82.82,83.22,171.51,1.05,0.72
Player_2,101,Forehand,2998,3000,0.07,501.42,221.46,175.24,177.94,55.54,58.36,169.86,1.55,4.78
Player_2,102,Forehand,3016,3020,0.13,2226.11,899.02,157.79,168.48,85.47,98.21,169.18,12.72,10.85
Player_2,103,Forehand,3107,3108,0.03,303.62,151.81,171.64,172.81,89.38,90.27,171.47,0.9,2.03
Player_2,104,Forehand,3127,3132,0.17,2068.36,1041.18,174.25,176.09,81.93,96.61,174.88,2.45,5.95
Player_2,105,Forehand,3311,3312,0.03,458.89,229.45,168.35,169.0,69.11,72.44,168.14,1.37,5.93
Player_2,106,Forehand,3394,3395,0.03,436.64,218.32,152.21,152.45,98.51,100.06,160.37,1.77,0.9
Player_2,107,Forehand,3534,3537,0.1,716.03,392.85,163.25,164.67,92.22,96.37,178.58,5.27,1.14
Player_2,108,Forehand,3630,3631,0.03,468.62,234.31,160.1,161.34,100.83,103.34,176.12,0.68,1.11
Player_2,109,Forehand,3632,3634,0.07,856.16,386.75,163.35,165.94,113.16,116.31,166.74,3.95,3.37
Player_2,110,Forehand,3727,3734,0.23,2046.74,1010.23,154.39,166.94,81.54,90.5,164.17,10.18,9.7
Player_2,111,Forehand,3794,3795,0.03,498.63,249.31,177.13,177.54,92.4,96.24,175.04,1.38,1.65
Player_2,112,Forehand,3807,3808,0.03,335.19,167.59,176.17,177.04,50.42,59.47,171.69,3.33,2.2
Player_2,113,Forehand,3823,3824,0.03,97.71,48.85,169.92,170.69,47.27,47.69,164.78,0.25,0.37
Player_2,114,Forehand,3830,3831,0.03,91.39,45.69,172.74,173.22,9.62,9.96,170.5,0.19,3.66
Player_2,115,Forehand,3845,3848,0.1,891.31,438.0,170.24,174.64,22.84,31.77,167.26,2.87,4.67
Player_2,116,Forehand,3924,3927,0.1,726.44,412.11,175.65,175.92,49.61,61.08,168.25,1.34,2.6
Player_2,117,Forehand,3936,3943,0.23,1019.86,581.73,160.56,173.05,82.71,123.39,169.28,11.37,22.02
Player_2,118,Forehand,3979,3981,0.07,1437.91,601.27,151.34,158.18,90.08,96.67,176.25,12.15,10.52
Player_2,119,Forehand,4070,4072,0.07,730.53,339.06,164.28,173.95,103.72,109.48,178.23,2.12,2.0
Player_2,120,Forehand,4213,4215,0.07,871.92,391.74,174.68,175.86,48.07,51.43,179.53,0.93,0.27
Player_2,121,Forehand,4240,4241,0.03,346.39,173.2,172.86,172.89,52.97,54.07,177.22,0.53,0.95
Player_2,122,Forehand,4418,4422,0.13,1553.48,668.9,150.63,158.21,87.08,122.56,174.58,14.4,2.84
Player_2,123,Backhand,4427,4431,0.13,1820.26,704.47,164.03,170.51,157.86,166.16,171.28,9.8,37.53
Player_2,124,Backhand,4439,4443,0.13,2253.36,1269.77,160.26,164.53,147.84,162.55,172.5,7.04,8.93
Player_2,125,Backhand,4452,4457,0.17,758.19,443.6,165.91,168.75,148.46,151.86,174.25,1.97,11.76
Player_2,126,Backhand,4541,4542,0.03,466.5,233.25,168.04,172.71,148.2,152.34,153.44,6.13,12.57
Player_2,127,Backhand,4563,4576,0.43,2567.55,1121.86,153.8,164.49,61.27,90.56,170.99,97.65,39.65
Player_2,128,Forehand,4582,4588,0.2,2652.73,1074.1,155.63,157.14,38.85,54.19,160.83,21.12,30.5
Player_2,129,Forehand,4606,4609,0.1,715.27,354.27,178.27,178.98,128.87,133.47,174.99,3.38,8.97
Player_2,130,Backhand,4837,4838,0.03,344.4,172.2,137.51,152.21,170.13,172.68,179.3,5.3,3.44
Player_2,131,Backhand,4839,4841,0.07,1662.9,661.26,134.03,139.35,169.24,173.03,174.07,9.51,5.93
Player_2,132,Backhand,4845,4852,0.23,1953.08,901.03,142.86,149.33,167.98,170.28,177.22,12.86,6.44
